find out,"na. 查出；发现；看清…的面目；识破
"
decide to, 决定；决定去做；决定要
in the long term,"na. 从长期看
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
be hostile to,"na. 敌视
"
be hostile towards,无
be linked to, 与…有联系；与…有关；与……相联系
be packed with,"挤满..., 装满..., 塞满..."
in addition to,"na. 加之
"
be apt to,"v. 易于；善于
"
assign sb. to sth.,"un. 指定(时间、地点)；提出(理由等)；分配；分给…用
"
assign sb. to do sth.,无
stick with, 坚持；继续支持；坚持做
tease out,"na. (将纠缠在一起的东西)整理；得出
"
rise above,"na. 凌驾…之上；超越…；摆脱
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
strip sb. of sth.,"un. 剥去；剥掉；剥夺；失去
"
come to terms with,"un. 谈得拢；和…达成协议；与…友好相处；追恋
"
place emphasis on,"na. 着重在；加强(语气)
"
put emphasis on,"na. 着重在；强调
"
side with,"v. 援助；偏袒
"
look after,"na. 照看；照顾；看管；对…负责
"
rush to,"un. 掠过；奔到；抢救
"
set off,"na. 分；分割；划开；区划
"
flee to,"v. 投奔
"
out of line,"na. 不一致；不成一直线
"
with the exception of,"na. 除…外
"
lay off,"na. 辞退；停止；暂停
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
be born with, 天生具有；生而具有；生就
no less than,"prep. 多达
"
in such a case, 在这种情况下
all the more so, 更加如此；更是如此；尤其这样
be accessible to, 能接近；容易接近的；可进入的
in essence,"na. 本质上；大体上
"
cling to,"v. 依附；坚持
"
do harm to,"v. 损害
"
make it,"na. 赶到；办成功；规定时间；〔美俚〕性交
"
for the better,"na. (有)好转
"
for fear of,"na. 因为怕；唯恐
"
for fear that,"na. 生怕
"
take control of, 控制；掌管；取得对……的控制
bear on,"na. 瞄准；压迫；倚恃；与…有关系
"
bear upon,"na. 瞄准；压迫；靠；与…有关系
"
flag up, 举旗
in need of,"adj. 需要
"
turn on,"na. 转向；对…进行突击
"
in the meantime,"na. 在这期间
"
participate in,"v. 参加；分享
"
apply to,"v. 应用于
"
out of necessity, 出于必要；迫不得已；出于需要
manage to,"v. 设法处理
"
leave behind,"na. 遗留；留下；追过；留在后头
"
on the one hand,"na. 一方面
"
on the other hand,"na. 从另一方面来说；在另一方面
"
correlate with, 找出一一对应的关系；与…相关；使相互关联
concern for,"un. 关心
"
