abandon oneself to,"na. 恣意
"
call out,"na. 呼喊；大声叫唤；召集；号召罢工
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"na. 平静下来
"
campaign for, 竞选；为…而进行活动；竞选活动
can not help,"v. 禁不住
"
could not help,"v. 不得不
"
care for,"v. 照顾；关心；喜欢
"
carry forward,"na. 推进；发扬；结转；使进行
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
carry over,"na. 贮存(货物等)供下季供应；将(账目等)结转(次页)
"
carry through,"na. 完成(计划等)；坚持到底
"
carry weight,"na. (意见等)有力；(人物)有势力[地位]
"
carve out, 雕刻出…; 用辛勤的劳动创造出…; 剜
carve up, 把（某物）切成块; <贬><非正>瓜分[划分]（某物）; 脔割
cash down,"na. 即付
"
cash in on,"na. 用…赚钱；利用
"
cast about,"na. 设法；【航】掉转航向
"
cast about for,"na. 寻觅；搜集；物色；想(方法等)
"
cast around, 寻找
cast around for,"cast around (for)
＝ cast about (for)
以上来源于：《21世纪大英汉词典》"
cast aside,"na. 抛弃
"
cast off,"na. 脱掉(衣服)；放弃；【航】放(船)；【印,纺】织完
"
cast out,"na. 扔出；赶出；吐出；〈英〉吵闹
"
cast lots,"na. 掷骰子决定
"
draw lots,"na. 抽签；拈阄
"
catch fire,"na. 着火
"
catch at,"na. 抓住(东西)；欢迎(意见等)
"
catch on,"na. 流行；受欢迎；理解；懂得
"
catch one's breath,"na. 忍住呼吸；休息一下；紧张起来
"
catch out,"na. 接住球使击球员退出；看破
"
catch sight of,"na. 看出
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,"v. 赶上
"
catch hold of,"na. 抓住；乘机抓住(对方的失言)；掌握
"
get hold of,"v. 抓住；捉住
"
take hold of,"na. “Catch hold of”的变体
"
chance on,"na. 偶然发现
"
chance upon,"na. 偶然发现
"
change one's mind,"na. 改变想法
"
change over,"na. (使)改变(目的,位置)；改期
"
charge sb. with sth.,"na. 托付；使负…的罪名；使受…的责备
"
cheat on,"un. 不忠于
"
check in,"v. 〈美〉报到；(旅馆)登记
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up on,"na. “check on”的变体
"
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
choke up,"na. 使闷死；枯死；〔口语〕激动得说不出话来；同“choke”
"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear up,"na. 整顿；说明；(天气)转晴
"
close down,"v. 关闭；关门；倒闭；歇业
"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
come into effect,"na. 开始实施
"
go into effect,"v. 生效
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come apart,"na. (精神)错乱；分开了
"
come around,"na. 赶上；达到；袭击
"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
"
come at,"v. 得到；达到
"
come between,"na. 介入…之间；离间
"
come by,"na. 到手；通过附近；〔美俚〕拜访
"
come down,"na. 败落；退步；(飞机的)下降
"
come down to,"v. 降至；归结起来；变为；归结为
"
come in,"na. 进入；当选；上台；(党派)组阁
"
come in for,"na. 来取；接受；受到(处分等)
"
come into,"na. 归入；开始；得到；缔结
"
