accuse of,"un. 控告
"
sniff out,"na. 闻出；〈非正式〉发现
"
soak up,"v. 吸取
"
sound ... out,"v. 试探；打听
"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
"
spit out,"na. 同“spit”
"
sponge off,"un. 用海绵洗涤
"
square off,"na. (拳击中)摆好架势
"
square up,"na. 清账；【拳击】摆好进攻架势
"
stake out,"na. “stake off”的变体
"
stamp on,"na. 拒绝
"
stamp out,"na. 踏灭(火)；扑灭(暴动等)
"
stay afloat,"un. 维持浮态
"
steam up,"na. (玻璃)蒙上蒸汽而模糊；制造蒸汽；〈口〉拿出精神；鼓励
"
steer clear of,"na. 机灵地脱身
"
strike off,"na. 斩去；删去；除去(利息等)
"
strike out,"na. 打去；打出(火花等)；涂去；拟出
"
strike sb. as,无
strike up,"na. 挡起(敌手,刀剑)；(在金属上)浮雕；开始唱；定(约等)
"
strip off, 去掉[剥去]某物的表皮; <非正>揭开（伪装）; 脱掉（衣服）; 劈
strip sb. of,"un. 剥去；剥掉；剥夺；失去
"
stumble across,"un. 踌躇地转着；偶然发现
"
substitute for sth.,"v. 取代；替代
"
substitute for sb.,"v. 取代；替代
"
suck up to,"v. 拍马屁
"
swap out,"v. 交换出
"
swarm into,"v. 拥入；云集
"
self-contradictory,adj. 自相矛盾的
silver lining,"na. (失望或不幸中的)一线希望[一点慰藉]
"
slot machine,"n. 投币自动售货机；吃角子老虎赌博机；老虎机
"
stab sb. in the back, 背后插刀；背后捅刀子；背后中伤
stand a chance of,"un. 想尽办法；可能
"
state of affairs,"un. 事态；业务状况；情况
"
stay out of the way,无
strike gold, 找到丰富的消息、财源、幸福源泉等
suffice it that,无
suffice it to say that,"v. 满足…的需要
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take pride in,"na. 以…自豪；对…感到满意
"
tend to,"v. 倾向于；有助于
"
thirst for,"v. 非常想望
"
trade with,"un. 从事贸易；与…做生意:
"
trifle with,"un. 玩弄；心不在焉地做；摆弄:；戏弄:
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
take efforts,无
take measures,"na. 测定
"
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
take place,"na. 发生；举行
"
take the lead,"v. 率先
"
take ... to extremes, 做得过多
take account of,"na. 考虑
"
take a delight in,"喜爱,以…为乐"
take a fancy to,"na. 爱好
"
take after,"na. 尾随；仿效；像
"
take against,"v. 反对
"
take a hand in,"na. 参加
"
have a hand in,"na. 干与
"
take apart,"na. 分解；拆分；剖析
"
take ... as,"un. 剖析；视为
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take care of,"na. 照看；处理；清除
"
take down,"na. 扯下；卷起；记下；卸下
"
take exception to,"na. 对…提出异议
"
take for,"na. 认为；当做；弄错
"
take hold,"un. 抓住
"
take note, 注意到；记下；引起注意
take note of,"na. 注意(到)
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take over,"na. 接管；继承
"
take part in,"na. 参加；贡献
"
take the place of,"na. 接替某人的位置
"
take to,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk back,"na. 回嘴；反复重说；反唇相讥
"
talk down to,"v. 降低声调说
"
talk into,"na. 说服(某人)做…
"
talk out of, 劝阻；说服某人不做某事；强迫同意或决定不做
talk over,"na. 商谈；说服
"
tangle with, 争吵；纠葛；与…争吵
team up,"un. 配合
"
tear apart,"v. 弄乱；撕破
"
tear at,"v. 撕
"
tear ... away,"na. 撕掉；扯开；飞跑
"
tear ... away from,无
tear down,"na. 拆毁；扯下；猛冲
"
tear into,"na. 跑进
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell apart,"na. 辨别
"
tell from,"un. 辨别；区分开:
"
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
"
think about,"un. 思考；探讨；为…费心思；想像
"
think back,"un. 苦苦地思索；回忆
"
think back to, 回想；回想过去；回忆起
think better of,"na. 经考虑后决定不做(某事)；对…有较高评价
"
think highly of,"na. 尊重；评价极高
"
think of,"na. 想起
"
think of ... as ..., 把…认为是；看作；把…当作
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think through,"na. 仔细考虑；全面考虑
"
think up,"na. 想出；〔口语〕发明
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw in,"na. 投入；发边界球；注入；插入
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw oneself into,"na. 开始热心做(某事)
"
throw out,"na. 投出；拒绝；否决(议案)；派出
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
tide over,"v. 帮…度过难关
"
tidy away,"un. 把(某物)收藏起来:
"
tie down,"v. 束缚
"
tie in with,"un. 牵制；与…联合在一起
"
tie up,"na. 绑；系；包扎；(船只)系泊
"
tire out,"na. 使疲倦到极度
"
top up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
"
toss out,"na. 同“toss”
"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
"
touch off,"na. 正确地表现；草草写；添画；发射
"
touch on,"na. 说到
"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch up,"na. 润色；完成；用鞭等轻轻打(马)；轻轻打痛
"
trace to, 追溯到；上溯；找到…的根源
track down,"v. 追赶
"
trade in,"na. 用交换方式购入
"
trade off,"na. 卖出
"
trade on,"na. 利用(某人的)名声
"
trade upon,(为自私的目的)利用
transform into,"v. 转变成
"
treat of,"un. (正式用语)论述；论及:
"
triumph over,"un. 击败；克服；战胜:
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to, 设法；试图；试着
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,"v. 变成
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn one's back on,"na. 不理睬；丢弃；逃出
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn round,"na. 旋转；(忽然)转过身来
"
turn to,"v. 向(某人)求助；求助于
"
turn up,"v. 朝上翻；出现
"
take a chance,"na. 冒险一试
"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
"
take a loss,承担损失
take ... by surprise,"v. 突然惊吓
"
take care,"v. 当心；留心
"
take cover,"na. 躲避；利用[凭]掩护物；隐蔽
"
take effect,"na. 有效验；生效
"
take ... for granted,"v. 想当然
"
take heart,"na. 鼓起勇气
"
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take one's time,"na. 从容
"
take pains,"na. 费苦心；尽力
"
take root,"na. “strike root”的变体
"
take shape,"na. 成形；形成；具体化；有显著发展
"
take steps,"na. 采取措施
"
take ... to heart,"v. 非常关心
"
take turns,"na. 替换
"
talk nonsense, 胡说八道；胡言乱语；枉口拔舌
talk sense,"na. “speak sense”的变体
"
tell a white lie, 说善意的谎言；善意地谎言；说一个善意的谎言
tell the truth,"na. 说实话
"
thanks to,"v. 感谢；幸亏；多亏
"
that is,"na. 即；用于纠正之前说过的内容
"
that is to say,"na. “that is”的变体
"
the advent of,(重要人物或事件)…的出现(或到来)
the bulk of,"adj. 大多数；大部分
"
the hell,"na. 见鬼去
"
the moment,"na. (= as soon as)一…(就)
"
the moment that, 一…就
the more ... the more,越...越...
then and there,"na. 当时；在当时当地
"
the same as,"adj. 与…同样
"
the small hours,"na. 二
"
think-tank,智囊团
thousands of,"adj. 几千；成千上万
"
time after time,"na. 常常；反复
"
time and again,"na. “time after time”的变体
"
time and time again,"na. 常常；反复
"
time out,"n. (英国)《暂停》周刊
"
to a certain extent,"na. “to a certain degree”的变体
"
to a day, 一天也不差；恰好；整整
to the day,"adv. 正好
"
to all appearances,"na. 显然；没有不像…的
"
to be fair,"na. 说良心话
"
to begin with,"na. 首先；本来〔插入语〕
"
to be sure,"un. 当然；无疑
"
to date,"na. 至今
"
to death,"na. 到极点
"
to excess,"na. (吸烟)过度
"
to ... extent,达到某种程度
together with,"na. 和…一起[合起来]
"
to hell with, 让…见鬼去吧；某人该死；非正式
to my mind,"na. “in my mind”的变体
"
to one's knowledge, 据某人所知；据…所知；就某人所知
too ... to, 太……而不能；太……以致不能；用法
to perfection,"na. 完全地；好极
"
to say nothing of,"conj. 更不用说
"
to say the least,"na. 至少可以这样说
"
to sb.'s credit,无
to some degree,"adv. 多多少少
"
to some extent,"na. 在某种程度上
"
to the contrary,"na. 反对地
"
to the core,"na. 到心
"
to the effect that, 大意是；大意是说；主要内容是
to the extent of,"na. 达到…的程度
"
to the letter,"na. 严格按照字句；详细知道；了如指掌
"
to the limit of,无
to the point,"na. 露骨；中肯
"
to the point of,"adv. 达到…的程度
"
train of thought,"un. 思路
"
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
turn a deaf ear,"un. 回心转意；置之不理
"
turn a deaf ear to,"na. 充耳不闻；装听不见[置若罔闻]
"
turn the corner,"na. 转弯；度过危机；情形好转；拐过街角
"
turn the tables,"v. 扭转形势；扭转局面
"
tag along,"na. 〈非正式〉跟随；尾随
"
tail off,"na. “Tail away”的变体
"
take aback,vt. 使吃惊；惊吓
take stock of,"v. 鉴定；估计
"
thin out,"na. 间(苗)；(听众)减少；变薄
"
thrash out,"v. 通过讨论解决
"
thumb through,"na. 翻查一过
"
tick away,"v. 滴答作响
"
tick by,过去滴答声过去
tip sb. off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
tone down,"na. 使柔和；变柔和
"
trail along,"v. 慢吞吞走
"
trail away, 散去; （声音）逐渐变弱
trail off,"na. (声音)逐渐消失；“trail away”的变体
"
trip up,"na. 同“trip”
"
tuck away,"na. 藏起
"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
"
tuck up,"na. 折起一头；包；〔口语〕绞死(犯人)
"
tumble to,"v. 领会；了解
"
tune in,"na. 调谐；收听；〔美国〕开始
"
tune in to,"v. 拨；收听
"
take in one's stride,轻而易举地做某事
take into one's confidence,向…吐露心事; 以…为心腹
take its toll, 造成损失；造成伤亡；伤害某人
take one's cue from,"na. 得到某人的指点[暗示]
"
take one's leave of,(向…)辞行；(向…)告别
take sb.'s breath away,无
take sb. to task,"v. 责骂
"
take someone by the throat,无
have someone by the throat,无
take the initiative,"na. 带头
"
take the plunge,"na. 冒险尝试；蛮干；毅然从事
"
take the plunge of,无
take ... with a grain of salt,不全信；对…采取保留态度
take ... with a pinch of salt, 将信将疑；不轻信；不大相信
talk through one's hat,"na. 说大话；夸张；乱说
"
the other way around,"na. 从相反方向；用相反方式
"
the other way round, 相反；反过来；颠倒
the other way up,无
the rank and file,"n. 普通士兵；普通成员
"
through and through,"na. 完完全全；彻头彻尾
"
through thick and thin,"na. 在任何情形下；不避艰险；遍历艰苦
"
throw one's weight about,"na. 大摆架子；作威作福
"
throw one's weight around, 过分夸耀自己的地位；拿架子；骄横跋扈
to be on the safe side, 出于安全考虑；以防万一；为了保险起见
to one's heart's content,"na. 尽情
"
to the fore,"na. 在前面；在场；立即有用；(钱等)在手边
"
to the tune of,"na. (￡5) 达(5镑)之多
"
turn over a new leaf,"na. 翻开新的一页；革面洗心；重新开始[做人]
"
up in arms,"na. 武装反抗；武装起义；采取敌对态度
"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
"
use up,"na. 用完；耗尽
"
under ... circumstances, 即期
under ... conditions, 在……情况下；在此条件下；附加条件
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under cover,"na. 在掩蔽之下
"
under fire,"na. 在炮火下；受到攻击；在弹雨下
"
under pressure,"un. 在压力下
"
under the weather,"na. 〈非正式〉身体不适；不太舒服
"
under way,"na. 进行着；【航海】航行中
"
up against,"na. 面临；遭遇(障碍等)
"
up in the air,"na. 悬而未决的
"
up to,"na. 干(着)；到；胜任；…的责任
"
up to date,"adj. 现代的；最新的；时髦的；新式的
"
up to the minute,"na. 最新的
"
upward of, 多于， 超过
usher in,"na. 迎接(来客)；传报
"
under one's breath,"na. 小声
"
up to scratch,"na. 合格；称职；处于良好状态
"
view ... as,"把...看作..., 认为...是..."
vote against,"v. 投票反对
"
vote in,"un. 否决；当选
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
ward off,"v. 挡开；架开
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
would rather,"na. 宁愿
"
wait for,"na. 等；等待
"
wait on,"v. 等着
"
wake up to, 认识到；认识到…的重要性；意识到
walk away with, 随…走开; 偷走; 带走; <口>轻而易举地赢得（比赛、奖品等）
walk off with, 偷走; 带走; <口>轻而易举地赢得（比赛、奖品等）; <非正>在（演出）中引人注目
walk on, <非正>小心翼翼; （演员）上台; 轻率地对待; 继续走
walk out,"na. 出去；〔美国〕罢工；(丢开人)走掉
"
walk up,"na. 使猎犬将(鸟等)惊飞
"
wall in,"un. 自我堵塞
"
warm to, 爱好；同情；喜欢
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn of,"na. 警告(某人)有危险
"
wash out,"v. 洗掉
"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
"
waste away,"na. 消瘦
"
watch out,"na. 当心；留神；小心；提防
"
watch out for,"v. 期待；等待
"
wave aside,"na. 挥手使站开；挥手拒绝[排斥]
"
wear away,"v. 消逝；磨损
"
wear off,"na. (精力)衰退；(衣服等)渐破
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
win out,"na. 摆脱
"
win through,"na. 摆脱
"
win over,"na. 争取过来
"
wish for,"v. 希望；想要
"
work against, 对……不利；对…产生不利的作用和影响；反对
work at,"na. 从事；用功读
"
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
work off,"v. 渐渐消除
"
work out,"v. 作出；拟定；制定；计划一下
"
work through,"un. 急救；推敲；过…关；贯穿
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
work with,"na. 打动
"
wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
well-balanced,adj. 匀称的；神智健全的；通情达理的；明智的
well-known,adj. 著名的；众所周知的；清楚明白的
well-meaning,adj. 善意的；好心的
what is more,"na. 加之
"
what is worse,"na. 更坏的是
"
whether ... or ..., 不管；不管…还是；是…还是
whether or not,"conj. 是否
"
with a view to,"prep. 为了
"
within reason,"un. 就情理上讲；合情合理
"
with no air of,无
with an air of, 闷闷不乐的神情；带着…的神情
without fail,"na. 必定
"
without question,"na. 无疑地；没有异议
"
with reference to,"na. 关于
"
with respect to,"na. 〈正式〉考虑到
"
word for word,"adv. 逐字翻译
"
would sooner,"v. 宁可
"
wade through, 徒涉；艰难地通过；从河水中走过去
wash one's hands of,"na. 不再管或负责某事；和…断绝关系
"
whip up,"na. 鞭(马等)飞跑；督促；集合(听众等)；抓住
"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
wink at,"na. 对…使眼色；假装没看见
"
when it comes to, 一谈到；当提到；当谈到
with one accord,"na. 一致地
"
year after year,"adv. 年复一年
"
year by year,"na. 年年；逐年
"
you bet,"na. 〈口〉肯定
"
