accuse of,"un. 控告
"
be subject to,"un. 给；降伏；受…支配；受…影响
"
be susceptible to,"na. 对…敏感
"
be unlikely to, 不可能；不太可能
be unprepared for,无
be vulnerable to, 易于患上；易受；对…无能为力
be willing to,"na. 乐意进行
"
be worth doing,值得做……
by accident,"na. 偶然 (opp. on purpose)
"
by all means,"na. 必定；千方百计；不惜一切；好的
"
by chance,"na. 偶然
"
by contrast,"un. 相比之下；作对比；与此相反
"
in contrast,"adv. 相反
"
by means of,"na. 以
"
by nature,"na. 生就；从本性上说
"
by way of,"na. 当做；作出…的样子；经由；以便
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bear in mind,"na. 记住；铭记不忘；注意
"
keep in mind,"na. 记在心里；记住；注意
"
bear out,"na. 证明
"
begin with,"na. 从…开始
"
benefit by,"v. 得益于
"
bet on, 打赌；为某事打赌；就…打赌
bid for,"na. 投标求包(工程)；出价竞买(某物)；争取得到(拥护等)
"
boast of,"na. 夸耀
"
boast about,"na. 夸耀
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring into effect,"na. 使生效；使起作用；实行
"
carry into effect,"na. 使生效；使起作用；实行
"
put into effect,"na. 实行
"
bring forth,"na. 提出；生
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
bring out,"na. 公布；说出；出版；上演
"
bring together,"na. 集合
"
build on,"na. 依赖；把…建筑于
"
build upon,"na. “build on”的变体；同“build on ”
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burn out,"na. 烧起来；烧光；烧尽；烧断
"
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
burst into,"na. 闯进；突然…起来
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
burst upon,"na. 突然出现；袭击
"
burst on,"na. 突然出现；袭击
"
buy into,"na. (出钱)做股东[会员]
"
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
"
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
"
buy up,"na. 囤积；整批收购；购进(其他公司)
"
back and forth,"na. 来回地
"
bad debt,"n. 坏账；呆账；倒账
"
badly off,"adj. 穷困的；拮据的；境况不佳的
"
be able to,"v. 能够
"
be accustomed to,"na. 惯于(苦干,早起)
"
be addicted to,"na. 嗜好
"
be aware of,"na. 知道
"
be beneficial to,"v. 有益于
"
be bothered with,无
be bound to,"v. 一定要；决心
"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
"
be central to, 对…极为重要的；是…的核心；对…来说是重要的
be characterized by,"na. 有…的(显著)特点
"
be crucial to, 对……至关重要；决定性的；重要的
be different from,"na. 和…不同
"
be disappointed at, 对…失望；对……感到失望；后应接指东西的词
be distracted by, 被…分心；对······心烦意乱
be enrolled in, 入学；进入
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
be equipped with,"na. 安置着；身上穿着
"
be equivalent to,"na. 等于；相当于
"
be essential to,"v. 对…必不可少
"
be faced with,"v. 面临
"
be familiar with,"na. 精通；同…相好
"
be familiar to,"v. 熟悉
"
be fascinated with,无
be fond of,"v. 爱好
"
be forced to,"v. 被迫
"
behind someone's back, 在某人背后；背着某人；背著某人
behind the scenes,"na. 知道内幕；秘密地
"
be ignorant of,"na. 不了解
"
be independent of,"na. 独立于…之外的；与…无关的
"
be indicative of, 表明；暗示；表示
be irrelevant to, 不切题；与…不相干；与…不相关
seem irrelevant to,无
be jealous of,"v. 妒忌
"
be liable for, 对…应负责任的；对…负责；有责任
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be limited to, 限于；局限于；限制在
be made of,"na. …制的
"
be marked by, 特点是；以…为特点；以…为明显特征
be of ... importance,无
be open to,"na. 易受；易接受；对…开着门
"
be opposed to,"v. 反对；与…相对
"
be popular with,"na. 受…欢迎
"
be proud of,"na. 以…自豪
"
be relevant to,"v. 有关
"
be sensitive to,"na. 对…敏感
"
be soft on,"爱上
钟情于
对......温柔"
be stuck in, 陷入；陷进；陷于
be supposed to,"na. …(在职务上)要；〈口〉不许
"
be the talk of,无
be tied to,"v. 被束缚着
"
be to blame,"na. 该负责
"
be tolerant of,"na. 对…能容忍
"
better off,"adj. 富有的；富裕的；境况良好
"
be typical of,"v. 代表；象征
"
be unaware of, 不知道；没有意识到；没意识到
be unfamiliar with, 不熟悉；对…不了解或不熟悉
be up to sb.,"un. 面对；在干；居心
"
be urged to,无
be worthwhile to,无
be worthy of, 值得；配得上；对得起
beyond dispute,"na. 无争论余地；的确；无疑
"
beyond one's ability,无
body of, 胆囊体
bottom line,"n. 底线；底价；要旨；基本论点
"
box office,"n. 票房；售票处
"
but then,"na. 但是；但是另一方面
"
by analogy,"na. 照此类推
"
by and large,"na. 总的说来
"
by common consent,"na. “with one consent”的变体
"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
"
by heart, 牢记；凭记忆；熟记
by mistake,"na. 因错误
"
by no means,"na. 决不；并没有
"
by reason of,"na. 凭…的理由
"
by rights,"na. 按理说
"
by the end of,"prep. 在…尽头
"
bargain for, 为购买（某物）讨价还价; 料到，考虑到（某情况）; 预料
bargain on, 依靠; 信赖; 料到; 考虑到（某情况）
bear a similarity to,无
beat about the bush,"na. 旁敲侧击；拨打草丛搜索猎物；旁敲侧击的刺探人意
"
beat around the bush,"na. 转弯抹角
"
beat sb. to the punch, 先发制人；捷足先登；抢得先机
bed down,"v. 使…安睡；下陷；卧睡
"
bite one's nails, （紧张时习惯性地）咬指甲，焦躁不安
